Date,Price,Open,High,Low,Volume
12-Jan-24,"3,882.80","3,848.00","3,905.25","3,821.60",6.81M
11-Jan-24,"3,735.55","3,724.00","3,773.00","3,707.00",1.78M
10-Jan-24,"3,713.05","3,690.00","3,729.25","3,688.00",1.29M
9-Jan-24,"3,689.90","3,709.95","3,752.35","3,682.75",1.37M
8-Jan-24,"3,678.30","3,737.90","3,739.75","3,672.40",1.07M
5-Jan-24,"3,737.90","3,675.00","3,747.75","3,674.85",1.96M
4-Jan-24,"3,666.80","3,701.75","3,719.00","3,651.00",3.60M
3-Jan-24,"3,691.75","3,767.00","3,771.85","3,687.05",1.80M
2-Jan-24,"3,783.20","3,811.10","3,811.10","3,767.25",1.34M
1-Jan-24,"3,811.10","3,790.00","3,832.00","3,773.00",825.91K
29-Dec-23,"3,793.40","3,792.00","3,822.60","3,765.40",1.57M
28-Dec-23,"3,799.90","3,824.00","3,838.00","3,792.10",1.68M
27-Dec-23,"3,811.20","3,799.00","3,818.20","3,768.00",1.29M
26-Dec-23,"3,795.55","3,819.85","3,834.00","3,790.15",1.29M
22-Dec-23,"3,824.00","3,800.00","3,845.95","3,762.00",2.41M
21-Dec-23,"3,787.50","3,756.25","3,806.70","3,743.35",1.52M
20-Dec-23,"3,780.05","3,827.25","3,898.80","3,766.55",2.59M
19-Dec-23,"3,816.20","3,845.00","3,855.10","3,790.00",2.00M
18-Dec-23,"3,859.20","3,858.10","3,929.00","3,830.15",2.52M
15-Dec-23,"3,861.00","3,666.70","3,895.95","3,666.70",8.53M
14-Dec-23,"3,667.25","3,630.00","3,678.00","3,627.60",3.29M
13-Dec-23,"3,593.55","3,643.55","3,650.00","3,563.00",3.85M
12-Dec-23,"3,672.10","3,638.95","3,698.40","3,631.00",2.24M
11-Dec-23,"3,642.90","3,622.90","3,653.00","3,615.00",1.10M
8-Dec-23,"3,626.70","3,633.00","3,645.00","3,602.05",1.64M
7-Dec-23,"3,614.90","3,605.00","3,630.55","3,591.70",1.97M
6-Dec-23,"3,604.10","3,532.60","3,612.85","3,525.15",1.90M
5-Dec-23,"3,531.60","3,538.00","3,538.00","3,502.80",1.38M
4-Dec-23,"3,512.45","3,544.65","3,547.80","3,498.00",1.63M
1-Dec-23,"3,511.65","3,500.00","3,516.95","3,490.05",1.17M
30-Nov-23,"3,487.60","3,499.45","3,516.65","3,481.00",3.27M
29-Nov-23,"3,513.75","3,481.00","3,518.00","3,475.80",1.44M
28-Nov-23,"3,470.15","3,457.10","3,481.25","3,433.00",1.69M
24-Nov-23,"3,457.10","3,494.25","3,504.55","3,453.00",1.99M
23-Nov-23,"3,508.25","3,530.00","3,544.00","3,500.00",2.73M
22-Nov-23,"3,530.15","3,500.00","3,532.65","3,481.10",1.80M
21-Nov-23,"3,510.20","3,519.60","3,539.05","3,501.00",1.81M
20-Nov-23,"3,519.60","3,491.25","3,533.90","3,491.25",1.48M
17-Nov-23,"3,502.45","3,497.85","3,524.50","3,492.55",2.02M
16-Nov-23,"3,497.85","3,430.05","3,529.35","3,414.20",3.95M
15-Nov-23,"3,404.30","3,383.10","3,413.00","3,356.05",2.06M
13-Nov-23,"3,331.55","3,356.00","3,356.00","3,327.00",1.03M
12-Nov-23,"3,358.90","3,350.00","3,359.00","3,350.00",173.21K
10-Nov-23,"3,333.45","3,338.00","3,347.45","3,322.35",1.34M
9-Nov-23,"3,347.45","3,390.10","3,391.50","3,342.05",2.11M
8-Nov-23,"3,381.55","3,371.45","3,401.95","3,369.55",992.90K
7-Nov-23,"3,370.45","3,378.00","3,404.15","3,366.00",1.19M
6-Nov-23,"3,380.25","3,375.00","3,392.30","3,359.00",1.10M
3-Nov-23,"3,350.90","3,382.00","3,387.90","3,344.30",1.40M
2-Nov-23,"3,360.10","3,343.20","3,375.95","3,343.20",1.25M
1-Nov-23,"3,330.65","3,355.00","3,371.60","3,311.00",1.56M
31-Oct-23,"3,368.75","3,399.00","3,399.00","3,350.05",999.81K
30-Oct-23,"3,378.55","3,350.00","3,382.85","3,333.75",910.97K
27-Oct-23,"3,350.95","3,350.00","3,362.00","3,337.00",1.11M
26-Oct-23,"3,336.75","3,368.05","3,373.70","3,330.00",1.98M
25-Oct-23,"3,390.10","3,390.50","3,425.00","3,377.20",1.52M
23-Oct-23,"3,410.15","3,473.00","3,478.95","3,401.30",1.11M
20-Oct-23,"3,494.55","3,450.40","3,499.50","3,444.05",1.48M
19-Oct-23,"3,455.65","3,469.50","3,476.85","3,451.90",1.51M
18-Oct-23,"3,487.25","3,511.00","3,522.70","3,484.00",1.41M
17-Oct-23,"3,507.05","3,530.00","3,534.15","3,503.35",1.67M
16-Oct-23,"3,524.05","3,566.00","3,574.65","3,519.10",1.67M
13-Oct-23,"3,570.85","3,530.00","3,577.00","3,525.00",2.89M
12-Oct-23,"3,542.55","3,575.00","3,588.65","3,538.10",4.24M
11-Oct-23,"3,609.90","3,650.00","3,650.00","3,605.00",2.43M
10-Oct-23,"3,628.90","3,640.05","3,648.00","3,601.35",1.85M
9-Oct-23,"3,638.35","3,645.05","3,679.00","3,631.00",4.23M
6-Oct-23,"3,621.40","3,591.00","3,634.95","3,575.05",2.08M
5-Oct-23,"3,589.35","3,554.00","3,624.00","3,551.20",2.99M
4-Oct-23,"3,537.75","3,486.30","3,548.00","3,477.30",1.79M
3-Oct-23,"3,513.85","3,534.20","3,534.20","3,480.10",1.95M
29-Sep-23,"3,528.60","3,537.20","3,568.45","3,505.55",2.24M
28-Sep-23,"3,536.75","3,600.00","3,602.80","3,527.35",1.76M
27-Sep-23,"3,589.30","3,590.00","3,614.00","3,555.70",1.54M
26-Sep-23,"3,585.70","3,567.60","3,594.95","3,536.00",1.73M
25-Sep-23,"3,577.15","3,602.50","3,620.00","3,558.65",1.24M
22-Sep-23,"3,603.65","3,584.00","3,633.75","3,565.05",1.99M
21-Sep-23,"3,585.30","3,588.55","3,605.00","3,528.00",2.00M
20-Sep-23,"3,606.05","3,580.00","3,625.00","3,580.00",1.65M
